Region,Division,State,year,crime_rate
West,Mountain,Colorado,1985,15219.0
Northeast,New England,Connecticut,1985,12758.0
South,South Atlantic,Delaware,1985,2695.0
South,South Atlantic,District of Columbia,1985,10171.0
South,South Atlantic,Florida,1985,106971.0
South,South Atlantic,Georgia,1985,30311.0
West,Pacific,Hawaii,1985,2313.0
West,Mountain,Idaho,1985,2360.0
Midwest,East North Central,Illinois,1985,82448.0
Midwest,East North Central,Indiana,1985,17014.0
Midwest,West North Central,Iowa,1985,6106.0
Midwest,West North Central,Kansas,1985,8716.0
South,East South Central,Kentucky,1985,11384.0
South,West South Central,Louisiana,1985,31108.0
Northeast,New England,Maine,1985,1950.0
South,South Atlantic,Maryland,1985,36655.0
Northeast,New England,Massachusetts,1985,31334.0
Midwest,East North Central,Michigan,1985,66714.0
Midwest,West North Central,Minnesota,1985,10751.0
South,East South Central,Mississippi,1985,7079.0
Midwest,West North Central,Missouri,1985,25321.0
West,Mountain,Montana,1985,1722.0
Midwest,West North Central,Nebraska,1985,3821.0
West,Mountain,Nevada,1985,6244.0
Northeast,New England,New Hampshire,1985,1405.0
Northeast,Middle Atlantic,New Jersey,1985,41172.0
West,Mountain,New Mexico,1985,10207.0
Northeast,Middle Atlantic,New York,1985,165365.0
South,South Atlantic,North Carolina,1985,26327.0
Midwest,West North Central,North Dakota,1985,322.0
Midwest,East North Central,Ohio,1985,41000.0
South,West South Central,Oklahoma,1985,13930.0
West,Pacific,Oregon,1985,14807.0
Northeast,Middle Atlantic,Pennsylvania,1985,39240.0
Northeast,New England,Rhode Island,1985,3355.0
South,South Atlantic,South Carolina,1985,21121.0
Midwest,West North Central,South Dakota,1985,967.0
South,East South Central,Tennessee,1985,22592.0
South,West South Central,Texas,1985,90030.0
West,Mountain,Utah,1985,4398.0
Northeast,New England,Vermont,1985,790.0
South,South Atlantic,Virginia,1985,16813.0
West,Pacific,Washington,1985,18757.0
South,South Atlantic,West Virginia,1985,3214.0
Midwest,East North Central,Wisconsin,1985,9880.0
West,Mountain,Wyoming,1985,1307.0
South,East South Central,Alabama,1986,22616.0
West,Pacific,Alaska,1986,3046.0
West,Mountain,Arizona,1986,21835.0
South,West South Central,Arkansas,1986,9365.0
West,Pacific,California,1986,248370.0
West,Mountain,Colorado,1986,17105.0
Northeast,New England,Connecticut,1986,13578.0
South,South Atlantic,Delaware,1986,2703.0
South,South Atlantic,District of Columbia,1986,9423.0
South,South Atlantic,Florida,1986,121013.0
South,South Atlantic,Georgia,1986,35869.0
West,Pacific,Hawaii,1986,2604.0
West,Mountain,Idaho,1986,2232.0
Midwest,East North Central,Illinois,1986,93454.0
Midwest,East North Central,Indiana,1986,16937.0
Midwest,West North Central,Iowa,1986,6703.0
Midwest,West North Central,Kansas,1986,9076.0
South,East South Central,Kentucky,1986,12467.0
South,West South Central,Louisiana,1986,34128.0
Northeast,New England,Maine,1986,1726.0
South,South Atlantic,Maryland,1986,37177.0
Northeast,New England,Massachusetts,1986,32476.0
Midwest,East North Central,Michigan,1986,73517.0
Midwest,West North Central,Minnesota,1986,11991.0
South,East South Central,Mississippi,1986,7196.0
Midwest,West North Central,Missouri,1986,29310.0
West,Mountain,Montana,1986,1289.0
Midwest,West North Central,Nebraska,1986,4196.0
West,Mountain,Nevada,1986,6923.0
Northeast,New England,New Hampshire,1986,1433.0
Northeast,Middle Atlantic,New Jersey,1986,43623.0
West,Mountain,New Mexico,1986,10731.0
Northeast,Middle Atlantic,New York,1986,175210.0
South,South Atlantic,North Carolina,1986,30128.0
Midwest,West North Central,North Dakota,1986,348.0
Midwest,East North Central,Ohio,1986,45260.0
South,West South Central,Oklahoma,1986,14423.0
West,Pacific,Oregon,1986,14830.0
Northeast,Middle Atlantic,Pennsylvania,1986,42629.0
Northeast,New England,Rhode Island,1986,3271.0
South,South Atlantic,South Carolina,1986,22789.0
Midwest,West North Central,South Dakota,1986,883.0
South,East South Central,Tennessee,1986,25919.0
South,West South Central,Texas,1986,109925.0
West,Mountain,Utah,1986,4441.0
Northeast,New England,Vermont,1986,807.0
South,South Atlantic,Virginia,1986,17708.0
West,Pacific,Washington,1986,19505.0
South,South Atlantic,West Virginia,1986,3156.0
Midwest,East North Central,Wisconsin,1986,12339.0
West,Mountain,Wyoming,1986,1486.0
South,East South Central,Alabama,1987,22833.0
West,Pacific,Alaska,1987,2391.0
West,Mountain,Arizona,1987,20742.0
South,West South Central,Arkansas,1987,9839.0
West,Pacific,California,1987,253943.0
West,Mountain,Colorado,1987,15409.0
Northeast,New England,Connecticut,1987,13455.0
South,South Atlantic,Delaware,1987,2774.0
South,South Atlantic,District of Columbia,1987,10016.0
South,South Atlantic,Florida,1987,123168.0
South,South Atlantic,Georgia,1987,35868.0
West,Pacific,Hawaii,1987,2851.0
West,Mountain,Idaho,1987,2138.0
Midwest,East North Central,Illinois,1987,92216.0
Midwest,East North Central,Indiana,1987,18169.0
Midwest,West North Central,Iowa,1987,6553.0
Midwest,West North Central,Kansas,1987,8932.0
South,East South Central,Kentucky,1987,12589.0
South,West South Central,Louisiana,1987,30916.0
Northeast,New England,Maine,1987,1806.0
South,South Atlantic,Maryland,1987,34820.0
Northeast,New England,Massachusetts,1987,33060.0
Midwest,East North Central,Michigan,1987,71772.0
Midwest,West North Central,Minnesota,1987,12118.0
South,East South Central,Mississippi,1987,7081.0
Midwest,West North Central,Missouri,1987,27792.0
West,Mountain,Montana,1987,1223.0
Midwest,West North Central,Nebraska,1987,4004.0
West,Mountain,Nevada,1987,7006.0
Northeast,New England,New Hampshire,1987,1581.0
Northeast,Middle Atlantic,New Jersey,1987,41507.0
West,Mountain,New Mexico,1987,9427.0
Northeast,Middle Atlantic,New York,1987,179691.0
South,South Atlantic,North Carolina,1987,31039.0
Midwest,West North Central,North Dakota,1987,382.0
Midwest,East North Central,Ohio,1987,45436.0
South,West South Central,Oklahoma,1987,13664.0
West,Pacific,Oregon,1987,14697.0
Northeast,Middle Atlantic,Pennsylvania,1987,44087.0
Northeast,New England,Rhode Island,1987,3547.0
South,South Atlantic,South Carolina,1987,22773.0
Midwest,West North Central,South Dakota,1987,849.0
South,East South Central,Tennessee,1987,25900.0
South,West South Central,Texas,1987,105961.0
West,Mountain,Utah,1987,3861.0
Northeast,New England,Vermont,1987,748.0
South,South Atlantic,Virginia,1987,17414.0
West,Pacific,Washington,1987,19945.0
South,South Atlantic,West Virginia,1987,2605.0
Midwest,East North Central,Wisconsin,1987,12014.0
West,Mountain,Wyoming,1987,1387.0
South,East South Central,Alabama,1988,23052.0
West,Pacific,Alaska,1988,2682.0
West,Mountain,Arizona,1988,21147.0
South,West South Central,Arkansas,1988,10237.0
West,Pacific,California,1988,261912.0
West,Mountain,Colorado,1988,15548.0
Northeast,New England,Connecticut,1988,14759.0
South,South Atlantic,Delaware,1988,2981.0
South,South Atlantic,District of Columbia,1988,11914.0
South,South Atlantic,Florida,1988,138343.0
South,South Atlantic,Georgia,1988,42589.0
West,Pacific,Hawaii,1988,2810.0
West,Mountain,Idaho,1988,2345.0
Midwest,East North Central,Illinois,1988,93557.0
Midwest,East North Central,Indiana,1988,21187.0
Midwest,West North Central,Iowa,1988,7279.0
Midwest,West North Central,Kansas,1988,9083.0
South,East South Central,Kentucky,1988,12284.0
South,West South Central,Louisiana,1988,31711.0
Northeast,New England,Maine,1988,1898.0
South,South Atlantic,Maryland,1988,37466.0
Northeast,New England,Massachusetts,1988,36376.0
Midwest,East North Central,Michigan,1988,68980.0
Midwest,West North Central,Minnesota,1988,12490.0
South,East South Central,Mississippi,1988,8544.0
Midwest,West North Central,Missouri,1988,28393.0
West,Mountain,Montana,1988,989.0
Midwest,West North Central,Nebraska,1988,4374.0
West,Mountain,Nevada,1988,8275.0
Northeast,New England,New Hampshire,1988,1622.0
Northeast,Middle Atlantic,New Jersey,1988,44993.0
West,Mountain,New Mexico,1988,9938.0
Northeast,Middle Atlantic,New York,1988,196396.0
South,South Atlantic,North Carolina,1988,32753.0
Midwest,West North Central,North Dakota,1988,392.0
Midwest,East North Central,Ohio,1988,49144.0
South,West South Central,Oklahoma,1988,14179.0
West,Pacific,Oregon,1988,14959.0
Northeast,Middle Atlantic,Pennsylvania,1988,43534.0
Northeast,New England,Rhode Island,1988,3947.0
South,South Atlantic,South Carolina,1988,25889.0
Midwest,West North Central,South Dakota,1988,813.0
South,East South Central,Tennessee,1988,26205.0
South,West South Central,Texas,1988,109499.0
West,Mountain,Utah,1988,4110.0
Northeast,New England,Vermont,1988,791.0
South,South Atlantic,Virginia,1988,17940.0
West,Pacific,Washington,1988,21543.0
South,South Atlantic,West Virginia,1988,2476.0
Midwest,East North Central,Wisconsin,1988,10414.0
West,Mountain,Wyoming,1988,1479.0
South,East South Central,Alabama,1989,24329.0
West,Pacific,Alaska,1989,2623.0
West,Mountain,Arizona,1989,21320.0
South,West South Central,Arkansas,1989,11397.0
West,Pacific,California,1989,284136.0
West,Mountain,Colorado,1989,15636.0
Northeast,New England,Connecticut,1989,16576.0
South,South Atlantic,Delaware,1989,3745.0
South,South Atlantic,District of Columbia,1989,12937.0
South,South Atlantic,Florida,1989,140575.0
South,South Atlantic,Georgia,1989,47357.0
West,Pacific,Hawaii,1989,3004.0
West,Mountain,Idaho,1989,2582.0
Midwest,East North Central,Illinois,1989,98611.0
Midwest,East North Central,Indiana,1989,22735.0
Midwest,West North Central,Iowa,1989,7563.0
Midwest,West North Central,Kansas,1989,10073.0
South,East South Central,Kentucky,1989,13302.0
South,West South Central,Louisiana,1989,34257.0
Northeast,New England,Maine,1989,1676.0
South,South Atlantic,Maryland,1989,40152.0
Northeast,New England,Massachusetts,1989,39912.0
Midwest,East North Central,Michigan,1989,65760.0
Midwest,West North Central,Minnesota,1989,12549.0
South,East South Central,Mississippi,1989,8156.0
Midwest,West North Central,Missouri,1989,32634.0
West,Mountain,Montana,1989,935.0
Midwest,West North Central,Nebraska,1989,4503.0
West,Mountain,Nevada,1989,6947.0
Northeast,New England,New Hampshire,1989,1865.0
Northeast,Middle Atlantic,New Jersey,1989,47111.0
West,Mountain,New Mexico,1989,10755.0
Northeast,Middle Atlantic,New York,1989,203042.0
South,South Atlantic,North Carolina,1989,35902.0
Midwest,West North Central,North Dakota,1989,417.0
Midwest,East North Central,Ohio,1989,51109.0
South,West South Central,Oklahoma,1989,15847.0
West,Pacific,Oregon,1989,14625.0
Northeast,Middle Atlantic,Pennsylvania,1989,45586.0
Northeast,New England,Rhode Island,1989,3772.0
South,South Atlantic,South Carolina,1989,28576.0
Midwest,West North Central,South Dakota,1989,969.0
South,East South Central,Tennessee,1989,27118.0
South,West South Central,Texas,1989,111889.0
West,Mountain,Utah,1989,4417.0
Northeast,New England,Vermont,1989,753.0
South,South Atlantic,Virginia,1989,19057.0
West,Pacific,Washington,1989,22460.0
South,South Atlantic,West Virginia,1989,2724.0
Midwest,East North Central,Wisconsin,1989,10834.0
West,Mountain,Wyoming,1989,1227.0
South,East South Central,Alabama,1990,28630.0
West,Pacific,Alaska,1990,2885.0
West,Mountain,Arizona,1990,23911.0
South,West South Central,Arkansas,1990,12511.0
West,Pacific,California,1990,311051.0
West,Mountain,Colorado,1990,17328.0
Northeast,New England,Connecticut,1990,18201.0
South,South Atlantic,Delaware,1990,4365.0
South,South Atlantic,District of Columbia,1990,14919.0
South,South Atlantic,Florida,1990,160990.0
South,South Atlantic,Georgia,1990,48996.0
West,Pacific,Hawaii,1990,3113.0
West,Mountain,Idaho,1990,2776.0
Midwest,East North Central,Illinois,1990,110575.0
Midwest,East North Central,Indiana,1990,26275.0
Midwest,West North Central,Iowa,1990,8321.0
Midwest,West North Central,Kansas,1990,11093.0
South,East South Central,Kentucky,1990,14386.0
South,West South Central,Louisiana,1990,37914.0
Northeast,New England,Maine,1990,1759.0
South,South Atlantic,Maryland,1990,43940.0
Northeast,New England,Massachusetts,1990,44300.0
Midwest,East North Central,Michigan,1990,73468.0
Midwest,West North Central,Minnesota,1990,13392.0
South,East South Central,Mississippi,1990,8758.0
Midwest,West North Central,Missouri,1990,36602.0
West,Mountain,Montana,1990,1273.0
Midwest,West North Central,Nebraska,1990,5209.0
West,Mountain,Nevada,1990,7222.0
Northeast,New England,New Hampshire,1990,1459.0
Northeast,Middle Atlantic,New Jersey,1990,50057.0
West,Mountain,New Mexico,1990,11821.0
Northeast,Middle Atlantic,New York,1990,212458.0
South,South Atlantic,North Carolina,1990,41332.0
Midwest,West North Central,North Dakota,1990,472.0
Midwest,East North Central,Ohio,1990,54904.0
South,West South Central,Oklahoma,1990,17222.0
West,Pacific,Oregon,1990,14405.0
Northeast,Middle Atlantic,Pennsylvania,1990,51213.0
Northeast,New England,Rhode Island,1990,4334.0
South,South Atlantic,South Carolina,1990,34050.0
Midwest,West North Central,South Dakota,1990,1133.0
South,East South Central,Tennessee,1990,32698.0
South,West South Central,Texas,1990,129343.0
West,Mountain,Utah,1990,4892.0
Northeast,New England,Vermont,1990,716.0
South,South Atlantic,Virginia,1990,21694.0
West,Pacific,Washington,1990,24410.0
South,South Atlantic,West Virginia,1990,3036.0
Midwest,East North Central,Wisconsin,1990,12948.0
West,Mountain,Wyoming,1990,1367.0
South,East South Central,Alabama,1991,34518.0
West,Pacific,Alaska,1991,3499.0
West,Mountain,Arizona,1991,25152.0
South,West South Central,Arkansas,1991,14072.0
West,Pacific,California,1991,331122.0
West,Mountain,Colorado,1991,18887.0
Northeast,New England,Connecticut,1991,17761.0
South,South Atlantic,Delaware,1991,4857.0
South,South Atlantic,District of Columbia,1991,14671.0
South,South Atlantic,Florida,1991,157243.0
South,South Atlantic,Georgia,1991,48894.0
West,Pacific,Hawaii,1991,2744.0
West,Mountain,Idaho,1991,3016.0
Midwest,East North Central,Illinois,1991,119955.0
Midwest,East North Central,Indiana,1991,28349.0
Midwest,West North Central,Iowa,1991,8477.0
Midwest,West North Central,Kansas,1991,12465.0
South,East South Central,Kentucky,1991,16262.0
South,West South Central,Louisiana,1991,40438.0
Northeast,New England,Maine,1991,1631.0
South,South Atlantic,Maryland,1991,46469.0
Northeast,New England,Massachusetts,1991,44138.0
Midwest,East North Central,Michigan,1991,75232.0
Midwest,West North Central,Minnesota,1991,14006.0
South,East South Central,Mississippi,1991,10085.0
Midwest,West North Central,Missouri,1991,39358.0
West,Mountain,Montana,1991,1130.0
Midwest,West North Central,Nebraska,1991,5330.0
West,Mountain,Nevada,1991,8693.0
Northeast,New England,New Hampshire,1991,1318.0
Northeast,Middle Atlantic,New Jersey,1991,49257.0
West,Mountain,New Mexico,1991,12922.0
Northeast,Middle Atlantic,New York,1991,210184.0
South,South Atlantic,North Carolina,1991,44355.0
Midwest,West North Central,North Dakota,1991,415.0
Midwest,East North Central,Ohio,1991,61460.0
South,West South Central,Oklahoma,1991,18533.0
West,Pacific,Oregon,1991,14795.0
Northeast,Middle Atlantic,Pennsylvania,1991,53824.0
Northeast,New England,Rhode Island,1991,4638.0
South,South Atlantic,South Carolina,1991,34621.0
Midwest,West North Central,South Dakota,1991,1281.0
South,East South Central,Tennessee,1991,35955.0
South,West South Central,Texas,1991,145743.0
West,Mountain,Utah,1991,5077.0
Northeast,New England,Vermont,1991,662.0
South,South Atlantic,Virginia,1991,23459.0
West,Pacific,Washington,1991,26224.0
South,South Atlantic,West Virginia,1991,3440.0
Midwest,East North Central,Wisconsin,1991,13723.0
West,Mountain,Wyoming,1991,1427.0
South,East South Central,Alabama,1992,36052.0
West,Pacific,Alaska,1992,3877.0
West,Mountain,Arizona,1992,25706.0
South,West South Central,Arkansas,1992,13831.0
West,Pacific,California,1992,345624.0
West,Mountain,Colorado,1992,20086.0
Northeast,New England,Connecticut,1992,16252.0
South,South Atlantic,Delaware,1992,4280.0
South,South Atlantic,District of Columbia,1992,16685.0
South,South Atlantic,Florida,1992,162827.0
South,South Atlantic,Georgia,1992,49496.0
West,Pacific,Hawaii,1992,2998.0
West,Mountain,Idaho,1992,3003.0
Midwest,East North Central,Illinois,1992,113664.0
Midwest,East North Central,Indiana,1992,28791.0
Midwest,West North Central,Iowa,1992,7816.0
Midwest,West North Central,Kansas,1992,12888.0
South,East South Central,Kentucky,1992,20107.0
South,West South Central,Louisiana,1992,42209.0
Northeast,New England,Maine,1992,1616.0
South,South Atlantic,Maryland,1992,49085.0
Northeast,New England,Massachusetts,1992,46727.0
Midwest,East North Central,Michigan,1992,72672.0
Midwest,West North Central,Minnesota,1992,15144.0
South,East South Central,Mississippi,1992,10763.0
Midwest,West North Central,Missouri,1992,38448.0
West,Mountain,Montana,1992,1400.0
Midwest,West North Central,Nebraska,1992,5598.0
West,Mountain,Nevada,1992,9247.0
Northeast,New England,New Hampshire,1992,1397.0
Northeast,Middle Atlantic,New Jersey,1992,48745.0
West,Mountain,New Mexico,1992,14781.0
Northeast,Middle Atlantic,New York,1992,203311.0
South,South Atlantic,North Carolina,1992,46600.0
Midwest,West North Central,North Dakota,1992,530.0
Midwest,East North Central,Ohio,1992,57935.0
South,West South Central,Oklahoma,1992,20005.0
West,Pacific,Oregon,1992,15189.0
Northeast,Middle Atlantic,Pennsylvania,1992,51276.0
Northeast,New England,Rhode Island,1992,3965.0
South,South Atlantic,South Carolina,1992,34029.0
Midwest,West North Central,South Dakota,1992,1383.0
South,East South Central,Tennessee,1992,37487.0
South,West South Central,Texas,1992,142369.0
West,Mountain,Utah,1992,5267.0
Northeast,New England,Vermont,1992,624.0
South,South Atlantic,Virginia,1992,23907.0
West,Pacific,Washington,1992,27454.0
South,South Atlantic,West Virginia,1992,3833.0
Midwest,East North Central,Wisconsin,1992,13806.0
West,Mountain,Wyoming,1992,1489.0
South,East South Central,Alabama,1993,32676.0
West,Pacific,Alaska,1993,4557.0
West,Mountain,Arizona,1993,28142.0
South,West South Central,Arkansas,1993,14381.0
West,Pacific,California,1993,336381.0
West,Mountain,Colorado,1993,20229.0
Northeast,New England,Connecticut,1993,14949.0
South,South Atlantic,Delaware,1993,4801.0
South,South Atlantic,District of Columbia,1993,16888.0
South,South Atlantic,Florida,1993,164975.0
South,South Atlantic,Georgia,1993,50019.0
West,Pacific,Hawaii,1993,3061.0
West,Mountain,Idaho,1993,3097.0
Midwest,East North Central,Illinois,1993,112260.0
Midwest,East North Central,Indiana,1993,27941.0
Midwest,West North Central,Iowa,1993,9159.0
Midwest,West North Central,Kansas,1993,12564.0
South,East South Central,Kentucky,1993,17530.0
South,West South Central,Louisiana,1993,45600.0
Northeast,New England,Maine,1993,1558.0
South,South Atlantic,Maryland,1993,49540.0
Northeast,New England,Massachusetts,1993,48393.0
Midwest,East North Central,Michigan,1993,75021.0
Midwest,West North Central,Minnesota,1993,15986.0
South,East South Central,Mississippi,1993,11467.0
Midwest,West North Central,Missouri,1993,38963.0
West,Mountain,Montana,1993,1489.0
Midwest,West North Central,Nebraska,1993,6071.0
West,Mountain,Nevada,1993,12157.0
Northeast,New England,New Hampshire,1993,1550.0
Northeast,Middle Atlantic,New Jersey,1993,49390.0
West,Mountain,New Mexico,1993,15024.0
Northeast,Middle Atlantic,New York,1993,195352.0
South,South Atlantic,North Carolina,1993,47178.0
Midwest,West North Central,North Dakota,1993,522.0
Midwest,East North Central,Ohio,1993,55915.0
South,West South Central,Oklahoma,1993,20512.0
West,Pacific,Oregon,1993,15254.0
Northeast,Middle Atlantic,Pennsylvania,1993,50295.0
Northeast,New England,Rhode Island,1993,4017.0
South,South Atlantic,South Carolina,1993,37281.0
Midwest,West North Central,South Dakota,1993,1490.0
South,East South Central,Tennessee,1993,39047.0
South,West South Central,Texas,1993,137419.0
West,Mountain,Utah,1993,5599.0
Northeast,New England,Vermont,1993,658.0
South,South Atlantic,Virginia,1993,24160.0
West,Pacific,Washington,1993,27040.0
South,South Atlantic,West Virginia,1993,3793.0
Midwest,East North Central,Wisconsin,1993,13321.0
West,Mountain,Wyoming,1993,1345.0
South,East South Central,Alabama,1994,28844.0
West,Pacific,Alaska,1994,4644.0
West,Mountain,Arizona,1994,28653.0
South,West South Central,Arkansas,1994,14598.0
West,Pacific,California,1994,318395.0
West,Mountain,Colorado,1994,18632.0
Northeast,New England,Connecticut,1994,14916.0
South,South Atlantic,Delaware,1994,4549.0
South,South Atlantic,District of Columbia,1994,15177.0
South,South Atlantic,Florida,1994,160016.0
South,South Atlantic,Georgia,1994,47103.0
West,Pacific,Hawaii,1994,3091.0
West,Mountain,Idaho,1994,3238.0
Midwest,East North Central,Illinois,1994,112928.0
Midwest,East North Central,Indiana,1994,30205.0
Midwest,West North Central,Iowa,1994,8914.0
Midwest,West North Central,Kansas,1994,11314.0
South,East South Central,Kentucky,1994,16991.0
South,West South Central,Louisiana,1994,42369.0
Northeast,New England,Maine,1994,1611.0
South,South Atlantic,Maryland,1994,47457.0
Northeast,New England,Massachusetts,1994,42749.0
Midwest,East North Central,Michigan,1994,72751.0
Midwest,West North Central,Minnesota,1994,16397.0
South,East South Central,Mississippi,1994,13177.0
Midwest,West North Central,Missouri,1994,39240.0
West,Mountain,Montana,1994,1516.0
Midwest,West North Central,Nebraska,1994,6322.0
West,Mountain,Nevada,1994,14597.0
Northeast,New England,New Hampshire,1994,1328.0
Northeast,Middle Atlantic,New Jersey,1994,48544.0
West,Mountain,New Mexico,1994,14708.0
Northeast,Middle Atlantic,New York,1994,175433.0
South,South Atlantic,North Carolina,1994,46308.0
Midwest,West North Central,North Dakota,1994,522.0
Midwest,East North Central,Ohio,1994,53930.0
South,West South Central,Oklahoma,1994,21225.0
West,Pacific,Oregon,1994,16067.0
Northeast,Middle Atlantic,Pennsylvania,1994,51425.0
Northeast,New England,Rhode Island,1994,3744.0
South,South Atlantic,South Carolina,1994,37756.0
Midwest,West North Central,South Dakota,1994,1641.0
South,East South Central,Tennessee,1994,38705.0
South,West South Central,Texas,1994,129838.0
West,Mountain,Utah,1994,5810.0
Northeast,New England,Vermont,1994,562.0
South,South Atlantic,Virginia,1994,23437.0
West,Pacific,Washington,1994,27317.0
South,South Atlantic,West Virginia,1994,3931.0
Midwest,East North Central,Wisconsin,1994,13748.0
West,Mountain,Wyoming,1994,1297.0
South,East South Central,Alabama,1995,26894.0
West,Pacific,Alaska,1995,4656.0
West,Mountain,Arizona,1995,30095.0
South,West South Central,Arkansas,1995,13741.0
West,Pacific,California,1995,305154.0
West,Mountain,Colorado,1995,16494.0
Northeast,New England,Connecticut,1995,13293.0
South,South Atlantic,Delaware,1995,5198.0
South,South Atlantic,District of Columbia,1995,14744.0
South,South Atlantic,Florida,1995,151711.0
South,South Atlantic,Georgia,1995,47317.0
West,Pacific,Hawaii,1995,3509.0
West,Mountain,Idaho,1995,3745.0
Midwest,East North Central,Illinois,1995,117836.0
Midwest,East North Central,Indiana,1995,30451.0
Midwest,West North Central,Iowa,1995,10071.0
Midwest,West North Central,Kansas,1995,10792.0
South,East South Central,Kentucky,1995,14079.0
South,West South Central,Louisiana,1995,43741.0
Northeast,New England,Maine,1995,1631.0
South,South Atlantic,Maryland,1995,49757.0
Northeast,New England,Massachusetts,1995,41739.0
Midwest,East North Central,Michigan,1995,65680.0
Midwest,West North Central,Minnesota,1995,16416.0
South,East South Central,Mississippi,1995,13560.0
Midwest,West North Central,Missouri,1995,35339.0
West,Mountain,Montana,1995,1491.0
Midwest,West North Central,Nebraska,1995,6253.0
West,Mountain,Nevada,1995,14461.0
Northeast,New England,New Hampshire,1995,1314.0
Northeast,Middle Atlantic,New Jersey,1995,47652.0
West,Mountain,New Mexico,1995,13804.0
Northeast,Middle Atlantic,New York,1995,152683.0
South,South Atlantic,North Carolina,1995,46508.0
Midwest,West North Central,North Dakota,1995,556.0
Midwest,East North Central,Ohio,1995,53799.0
South,West South Central,Oklahoma,1995,21770.0
West,Pacific,Oregon,1995,16408.0
Northeast,Middle Atlantic,Pennsylvania,1995,51586.0
Northeast,New England,Rhode Island,1995,3643.0
South,South Atlantic,South Carolina,1995,36067.0
Midwest,West North Central,South Dakota,1995,1513.0
South,East South Central,Tennessee,1995,40549.0
South,West South Central,Texas,1995,124303.0
West,Mountain,Utah,1995,6415.0
Northeast,New England,Vermont,1995,692.0
South,South Atlantic,Virginia,1995,23921.0
West,Pacific,Washington,1995,26300.0
South,South Atlantic,West Virginia,1995,3842.0
Midwest,East North Central,Wisconsin,1995,14399.0
West,Mountain,Wyoming,1995,1220.0
South,East South Central,Alabama,1996,24159.0
West,Pacific,Alaska,1996,4417.0
West,Mountain,Arizona,1996,27963.0
South,West South Central,Arkansas,1996,13161.0
West,Pacific,California,1996,274996.0
West,Mountain,Colorado,1996,15463.0
Northeast,New England,Connecticut,1996,13490.0
South,South Atlantic,Delaware,1996,4845.0
South,South Atlantic,District of Columbia,1996,13411.0
South,South Atlantic,Florida,1996,151350.0
South,South Atlantic,Georgia,1996,46966.0
West,Pacific,Hawaii,1996,3322.0
West,Mountain,Idaho,1996,3177.0
Midwest,East North Central,Illinois,1996,105482.0
Midwest,East North Central,Indiana,1996,31366.0
Midwest,West North Central,Iowa,1996,7771.0
Midwest,West North Central,Kansas,1996,10642.0
South,East South Central,Kentucky,1996,12448.0
South,West South Central,Louisiana,1996,40426.0
Northeast,New England,Maine,1996,1553.0
South,South Atlantic,Maryland,1996,47230.0
Northeast,New England,Massachusetts,1996,39122.0
Midwest,East North Central,Michigan,1996,60951.0
Midwest,West North Central,Minnesota,1996,15782.0
South,East South Central,Mississippi,1996,13261.0
Midwest,West North Central,Missouri,1996,31669.0
West,Mountain,Montana,1996,1415.0
Midwest,West North Central,Nebraska,1996,7182.0
West,Mountain,Nevada,1996,13005.0
Northeast,New England,New Hampshire,1996,1373.0
Northeast,Middle Atlantic,New Jersey,1996,42459.0
West,Mountain,New Mexico,1996,14399.0
Northeast,Middle Atlantic,New York,1996,132206.0
South,South Atlantic,North Carolina,1996,43068.0
Midwest,West North Central,North Dakota,1996,541.0
Midwest,East North Central,Ohio,1996,47896.0
South,West South Central,Oklahoma,1996,19710.0
West,Pacific,Oregon,1996,14837.0
Northeast,Middle Atlantic,Pennsylvania,1996,57905.0
Northeast,New England,Rhode Island,1996,3437.0
South,South Atlantic,South Carolina,1996,36875.0
Midwest,West North Central,South Dakota,1996,1297.0
South,East South Central,Tennessee,1996,41175.0
South,West South Central,Texas,1996,123270.0
West,Mountain,Utah,1996,6638.0
Northeast,New England,Vermont,1996,714.0
South,South Atlantic,Virginia,1996,22782.0
West,Pacific,Washington,1996,23857.0
South,South Atlantic,West Virginia,1996,3836.0
Midwest,East North Central,Wisconsin,1996,13039.0
West,Mountain,Wyoming,1996,1201.0
South,East South Central,Alabama,1997,24379.0
West,Pacific,Alaska,1997,4270.0
West,Mountain,Arizona,1997,28411.0
South,West South Central,Arkansas,1997,13293.0
West,Pacific,California,1997,257582.0
West,Mountain,Colorado,1997,14139.0
Northeast,New England,Connecticut,1997,12781.0
South,South Atlantic,Delaware,1997,5753.0
South,South Atlantic,District of Columbia,1997,10708.0
South,South Atlantic,Florida,1997,149996.0
South,South Atlantic,Georgia,1997,45408.0
West,Pacific,Hawaii,1997,3299.0
West,Mountain,Idaho,1997,3107.0
Midwest,East North Central,Illinois,1997,102476.0
Midwest,East North Central,Indiana,1997,30179.0
Midwest,West North Central,Iowa,1997,8841.0
Midwest,West North Central,Kansas,1997,11151.0
South,East South Central,Kentucky,1997,12386.0
South,West South Central,Louisiana,1997,37248.0
Northeast,New England,Maine,1997,1500.0
South,South Atlantic,Maryland,1997,43127.0
Northeast,New England,Massachusetts,1997,39411.0
Midwest,East North Central,Michigan,1997,57663.0
Midwest,West North Central,Minnesota,1997,15827.0
South,East South Central,Mississippi,1997,12808.0
Midwest,West North Central,Missouri,1997,31192.0
West,Mountain,Montana,1997,1161.0
Midwest,West North Central,Nebraska,1997,7265.0
West,Mountain,Nevada,1997,13395.0
Northeast,New England,New Hampshire,1997,1328.0
